"1-hand","Una mano"
"1-hand (stab or slash)","Una mano (perforante o cortante)"
"1-hand (thrown)","Una mano (arrojadiza)"
"2-ahnd",""
"2-hand","Dos manos"
"A Bottomless Ocean","Un océano insondable"
"A Friend in Every City","Un amigo en cada ciudad"
"A Grain of Truth",""
"A Little Too Close to Heaven",""
"A Samurai's Fate","El destino de un samurái"
"Abacus","Ábaco"
"Accursed Summoning","Invocación impía"
"Accustomed to Luxury","Habituado a los lujos"
"Adaptability, friendliness or awareness","Adaptabilidad, simpatía o sensibilidad"
"Addiction","Adicción"
"Adopted Peasant","Plebeyo adoptado"
"Adversity and Skill","Adversidad y habilidad"
"Advisor","Consejero"
"Aesthetics","Estética"
"Affect of Harmlessness",""
"Agasha","Agasha"
"Agasha Mystic School","Escuela de místico Agasha"
"Air","Aire"
"Air Fist","Puño de Aire"
"Air Invocations","Invocaciones de Aire"
"Air Kihō","Kihō de Aire"
"Air Shūji","Shūji de Aire"
"Air/Fire ring exchange",""
"Akodo","Akodo"
"Akodo Commander School","Escuela de comandante Akodo"
"Akodo's Final Lesson","La última lección de Akodo"
"All Arts Are One","Todas las artes son una"
"All Shall Fear Me",""
"All in Jest","Dicho en broma"
"Allergy [choose one]","Alergia [elige una]"
"Ally [Name]","Aliado [nombre]"
"Ambidexterity","Ambidiestro"
"Amigasa",""
"Ancestry Unearthed","Ascendencia descubierta"
"Animal Bond","Vínculo con un animal"
"Animal Trainer","Adiestrador de animales"
"Anxiety and other","Ansiedad y otro"
"Any game set",""
"Any weapon",""
"Architect of Tranquility",""
"Armament","Armamento"
"Armor of Earth","Armadura de Tierra"
"Armor of Radiance","Armadura resplandeciente"
"Artful Alibi",""
"Artisan",""
"Artisan skills","Habilidades artesanales"
"Artisan's Appraisal","La valoración del artesano"
"Artisan, Bushi","Artesano, Bushi"
"Artisan, Courtier","Artesano, Cortesano"
"Asahina","Asahina"
"Asahina Artificer School","Escuela de artesano Asahina"
"Asaka Inquisitor School","Escuela de inquisidor Asako"
"Asako","Asako"
"Asako Loremaster School","Escuela de señor de la sabiduría Asako"
"Ashidaka's Method","El método Ashidaka"
"Ashigaru Armor","Armadura de ashigaru"
"Assess Strengths",""
"Assortment of Maps in Scroll Cases","Mapas diversos en cajas para pergaminos"
"Astrolabe","Astrolabio"
"Attendant","Asistente"
"Awe of Heaven","Respeto a los Cielos"
"Axes","Hachas"
"Ballista","Balista"
"Bamboo Cane",""
"Bane of Sorcerers","Azote de brujos"
"Battle Trauma","Trauma de combate"
"Battle in the Mind","Batalla mental"
"Bayushi","Bayushi"
"Bayushi Deathdealer School",""
"Bayushi Manipulator School","Escuela de manipulador Bayushi"
"Bend with the Storm","Doblarse ante la tormenta"
"Benten's Blessing","Bendición de Benten"
"Benten's Curse","Maldición de Benten"
"Beware the Smallest Mouse",""
"Bind the Shadow","Atar a la sombra"
"Bind the Undead","Atar a los no muertos"
"Bisentō","Bisentō"
"Bishamon's Blessing","Bendición de Bishamon"
"Bishamon's Curse","Maldición de Bishamon"
"Biting Steel","Acero mordiente"
"Bitter Betrothal","Cónyuge problemático"
"Blackmail on [Name]","Chantaje sobre [nombre]"
"Blackmailed by [Character's Name]","Chantajeado por [nombre]"
"Blank Forms",""
"Blessed Lineage","Linaje bendecido"
"Blessed Wind","Viento bendito"
"Blessing of Steel","La bendición del acero"
"Blessing of the Fortunes","La bendición de las fortunas"
"Blessings of the Emperor","Las bendiciones del Emperador"
"Blindness","Ceguera"
"Blissful Betrothal","Matrimonio dichoso"
"Blood and Mortar","Sangre y cemento"
"Blood of Osano-wo","Sangre de Osano-wo"
"Blood of the Dragon","Sangre del Dragón"
"Blood of the Kami","Sangre del Kami"
"Blowgun","Cerbatana"
"Blunt Weapons","Armas contundentes"
"Bluntness","Franqueza"
"Bokken","Bokken"
"Bonsai","Bonsai"
"Book of Poetry",""
"Born in the Saddle","Nacido en la silla de montar"
"Bottle of Sake","Botella de sake"
"Bound in Ink","Ligado a la tinta"
"Bows","Arcos"
"Bowyer's Kit","Instrumentos de flechero"
"Bravado","Bravuconería"
"Breaking Blow","Golpe rompedor"
"Breath of Wind Style","Estilo del hálito de viento"
"Breath of the Fire Dragon","El aliento del dragón de Fuego"
"Brushwork","Uso del pincel"
"Buoyant Arrival","Alegre llegada"
"Bushi","Bushi"
"Bushi, Artisan","Bushi, Artesano"
