"2-ahnd",""
"A Grain of Truth",""
"A Little Too Close to Heaven",""
"Affect of Harmlessness",""
"Air/Fire ring exchange",""
"All Shall Fear Me",""
"Amigasa",""
"Any game set",""
"Any weapon",""
"Architect of Tranquility",""
"Artful Alibi",""
"Artisan",""
"Assess Strengths",""
"Bamboo Cane",""
"Bayushi Deathdealer School",""
"Beware the Smallest Mouse",""
"Blank Forms",""
"Bokken",""
"Bonsai",""
"Book of Poetry",""
"Bushi",""
"Bushi, Artisan",""
"Bushi, Shinobi",""
"Bō",""
"Ceremonial Tea Set",""
"Chokutō",""
"Claws of the Crab",""
"Commerce",""
"Composition",""
"Courtier, Monk",""
"Courtier, Shinobi",""
"Crackling Laughter",""
"Culture",""
"Cunning Distraction",""
"Curse of Musubi-no-Kami",""
"Daidoji",""
"Daidoji Spymaster School",""
"Daikyū",""
"Daimyō",""
"Dao",""
"Deceitful Strike",""
"Decorum",""
"Deer",""
"Demon Mask",""
"Disciple of Darkness",""
"Disguise Kit",""
"Dishonorable Cheat",""
"Distinction",""
"Divination",""
"Doji",""
"Doji Bureaucrat School",""
"Dragon",""
"Echoes of Ancient Days",""
"Eku",""
"Elegant Craftsman",""
"Famously Neutral",""
"Firefighter's Coat",""
"Flyssa",""
"Folding Fan",""
"Folding Half-Bow",""
"Foreseen Need",""
"Formal Tea Ceremony",""
"Fun and Games",""
"Genno",""
"Gift of Musubi-no-Kami",""
"Gourmet",""
"Gunsō",""
"Herbal Medicines (per dose)",""
"Hida",""
"Hidden in Smoke",""
"Hiruma",""
"Ide",""
"Ikebana",""
"Ikoma",""
"Ikoma Shadow School",""
"Impatience",""
"Incisive Insight",""
"Intolerance",""
"Invisible Ink (per inkwell)",""
"Invocations",""
"Isawa",""
"Isolation",""
"Iuchi",""
"Ji",""
"Jian",""
"Jitte",""
"Journal",""
"Kabutowari",""
"Kaito",""
"Kaiu",""
"Kaiu no Oyumi",""
"Kakita",""
"Kakita Katana",""
"Kama",""
"Kamayari",""
"Kasuga",""
"Kata",""
"Katana",""
"Kihō",""
"Kiseru",""
"Kitsu",""
"Kitsuki",""
"Kolat",""
"Kubi Bukuro",""
"Kuni",""
"Kusari-Gama",""
"Kusarifundo",""
"Kyoketsu Shoge",""
"Lackluster",""
"Legal Primer",""
"Like a Ghost",""
"Lion",""
"Local Flare for [Region]",""
"Mahō",""
"Makeup Kit (cheap)",""
"Makeup Kit (expensive)",""
"Makibishi (per handful)",""
"Map of Crab Lands",""
"Mari",""
"Masakari",""
"Matsu",""
"Matsu's Fury",""
"Mental",""
"Mercenary Ninja Training",""
"Metsubushi (per dose)",""
"Mirumoto",""
"Miya",""
"Mizugumo (Water Spider)",""
"Modified Scabbard",""
"Momoku",""
"Mono Imi Fuda (Taboo Plaque)",""
"Moto",""
"Naginata",""
"Ninjatō",""
"Ninjutsu",""
"Nodachi",""
"Norimono (Palanquin)",""
"Nunchaku",""
"O-Gata Dohou",""
"Offend the Sensibilities",""
"Omamori",""
"One with the Shadows",""
"Ono",""
"Opening and Closing Tools",""
"Other item relevant to your ancestor's victory",""
"Otomo",""
"Overconfidence in Charm",""
"Overconfidence in Creativity",""
"Overconfidence in Spiritual Sensitivity",""
"Overconfidence in Subtlety",""
"Overconfidence in Toughness",""
"Oyumi",""
"Paranoia",""
"Perfomers' Boat",""
"Phoenix",""
"Pole-Vault",""
"Portable Boat",""
"Portable Ladder",""
"Post Facto",""
"Pot Stirrer",""
"Procedure and Protocol",""
"Provocation",""
"Rochin",""
"Roll a ten-sided die and add the resulting family heirloom to your starting items. You choose one quality and the GM chooses one quality from the list of item qualities on page 240 of the core rulebook; these are applied to the item.",""
"Roll a ten-sided die to determine a skill that can aid you in discovering the truth about your lineage.",""
"Roll a ten-sided die to determine a skill to aid you in bringing your disgraced kin to justice.",""
"Rope (fifty feet)",""
"Sake",""
"Scorpion",""
"Scroll designating rank",""
"Secrets",""
"Sekihitsu",""
"Sentiment",""
"Seppun",""
"Shakuhachi",""
"Shiba",""
"Shiba Artist School",""
"Shika",""
"Shika Matchmaker School",""
"Shika Spear Dancer School",""
"Shinjo",""
"Shinobi",""
"Shinobigatana",""
"Shosuro",""
"Shugenja",""
"Shuriken",""
"Shūji",""
"Silent Elimination",""
"Slicing Wind Kick",""
"Sode",""
"Sokutoki",""
"Soshi",""
"Spiteful Love",""
"Spy Network",""
"Stealth Clothing",""
"Stillness of Death",""
"Strike First, Strike Last",""
"Sudden Clarity",""
"Superstition",""
"Support of the Kakita Dueling Academy",""
"Taketaba",""
"Taraibune",""
"Tatami Gusoku",""
"Tate",""
"Technique",""
"Tekagi",""
"Tekkan",""
"Tekken",""
"Tent (chomchong)",""
"Tenugui",""
"Tessen",""
"Tetsubō",""
"The Lowest Bow",""
"The Standing Death",""
"The Ties that Bind",""
"The deed to a small piece of land on the border of Lion territory",""
"Tinbe",""
"To Float or Sink",""
"Togashi Chronicler School",""
"Tonfa",""
"Toritaka",""
"Tosei-Gusoku",""
"Treaty Signing",""
"Trident",""
"Trip the Leg",""
"Triumph During Gempuku",""
"Triumph Over the Lion",""
"Tsuruhashi",""
"Twenty Goblin Thief",""
"Twenty-Goblin Crab",""
"Typhoon in the Bamboo Grove",""
"Uchitake",""
"Unarmed",""
"Unforgivable Performance",""
"Unsavory Past",""
"Unyielding Terms",""
"Utaku",""
"Victory before Honor",""
"Victory is the Greatest Honor",""
"Wakizashi",""
"Way of the Scorpion",""
"Web of Lies",""
"Well Connected in [City]",""
"What's Yours Is Mine",""
"Yari",""
"Yasuki",""
"Yasuki Yōjimbō School",""
"Yogo",""
"Yoriki",""
"You gain the Benten's Curse (air) disadvantage (see page 116 of the core rulebook). Rolla ten-sided die to determine a skill that will help redeem your family.",""
