"1-hand",""
"1-hand (stab or slash)",""
"1-hand (thrown)",""
"2-ahnd",""
"2-hand",""
"A Bottomless Ocean",""
"A Friend in Every City",""
"A Grain of Truth",""
"A Little Too Close to Heaven",""
"A Samurai's Fate",""
"Abacus",""
"Accursed Summoning",""
"Accustomed to Luxury",""
"Adaptability, friendliness or awareness",""
"Addiction",""
"Adopted Peasant",""
"Adversity and Skill",""
"Advisor",""
"Aesthetics",""
"Affect of Harmlessness",""
"Agasha",""
"Agasha Mystic School",""
"Air",""
"Air Fist",""
"Air Invocations",""
"Air Kihō",""
"Air Shūji",""
"Air/Fire ring exchange",""
"Akodo",""
"Akodo Commander School",""
"Akodo's Final Lesson",""
"All Arts Are One",""
"All Shall Fear Me",""
"All in Jest",""
"Allergy [choose one]",""
"Ally [Name]",""
"Ambidexterity",""
"Amigasa",""
"Ancestry Unearthed",""
"Animal Bond",""
"Animal Trainer",""
"Anxiety and other",""
"Any game set",""
"Any weapon",""
"Architect of Tranquility",""
"Armament",""
"Armor of Earth",""
"Armor of Radiance",""
"Artful Alibi",""
"Artisan",""
"Artisan skills",""
"Artisan's Appraisal",""
"Artisan, Bushi",""
"Artisan, Courtier",""
"Asahina",""
"Asahina Artificer School",""
"Asaka Inquisitor School",""
"Asako",""
"Asako Loremaster School",""
"Ashidaka's Method",""
"Ashigaru Armor",""
"Assess Strengths",""
"Assortment of Maps in Scroll Cases",""
"Astrolabe",""
"Attendant",""
"Awe of Heaven",""
"Axes",""
"Ballista",""
"Bamboo Cane",""
"Bane of Sorcerers",""
"Battle Trauma",""
"Battle in the Mind",""
"Bayushi",""
"Bayushi Deathdealer School",""
"Bayushi Manipulator School",""
"Bend with the Storm",""
"Benten's Blessing",""
"Benten's Curse",""
"Beware the Smallest Mouse",""
"Bind the Shadow",""
"Bind the Undead",""
"Bisentō",""
"Bishamon's Blessing",""
"Bishamon's Curse",""
"Biting Steel",""
"Bitter Betrothal",""
"Blackmail on [Name]",""
"Blackmailed by [Character's Name]",""
"Blank Forms",""
"Blessed Lineage",""
"Blessed Wind",""
"Blessing of Steel",""
"Blessing of the Fortunes",""
"Blessings of the Emperor",""
"Blindness",""
"Blissful Betrothal",""
"Blood and Mortar",""
"Blood of Osano-wo",""
"Blood of the Dragon",""
"Blood of the Kami",""
"Blowgun",""
"Blunt Weapons",""
"Bluntness",""
"Bokken",""
"Bonsai",""
"Book of Poetry",""
"Born in the Saddle",""
"Bottle of Sake",""
